purchases,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
2,14843983d4a159080f6afe4b7f346e7c,24220,niteroi,RJ
2,e3cf594a99e810f58af53ed4820f25e5,98700,ijui,RS
2,03dabd77cb0ed7a26fafe19e36b67742,63680,parambu,CE
2,5616f75d22507069b5383854a1d8c414,31060,"belo horizonte",MG
2,76e5f3bca2b1f5c510c41563c2ea31a4,22775,"rio de janeiro",RJ
2,97258e1c1f77f32358eccd1c9ee5954d,28895,"rio das ostras",RJ
2,95a3ac562ffc17755618fb67ce57ef9a,95041,"caxias do sul",RS
4,a73c5464692d3bc09d64e3edefae9015,09270,"santo andre",SP
3,1b6e96ed99cb8d135efe220d761bbd67,13190,"monte mor",SP
2,fd03997c82649affc061d275ddf1f3d9,29162,serra,ES
2,dff41d762e4e7b68b73af7203a429072,04564,"sao paulo",SP
2,ec99f30f38afadbfbae32d5883734ded,13212,jundiai,SP
2,570eb70ff97166b85ea96be3bfb65fef,31130,"belo horizonte",MG
2,d3857f98166ef23ca95d44cbe9b1828c,74063,goiania,GO
2,ffe254cc039740e17dd15a5305035928,37640,extrema,MG
2,10d5890ed5e7ec78a7db23b5ac579b17,93025,"sao leopoldo",RS
2,72061fff095d8325b311ea24e2f4a2b5,37150,"carmo do rio claro",MG
2,be31ab006786747df81854035a1960f4,13505,"rio claro",SP
2,1500da334da019c68fda219f942ba38a,95040,"caxias do sul",RS
2,75e750a6279d55f7137bb9e9bb8662cf,80430,curitiba,PR
2,7c438259d88d8eefb977be5432d761c1,35500,divinopolis,MG
2,98d9a0f7e940e0750fbf72f9aaab1210,06186,osasco,SP
2,84720447172b234e7504da52ee639435,81050,curitiba,PR
2,52d40ed525892e7b31fc34aa750419c9,07054,guarulhos,SP
2,e44110c2ff342e5bbda6c2224d94bbe6,01202,"sao paulo",SP
2,86b0aa3acd7e8f7427c8915780f5cd27,66615,belem,PA
2,f5344c7feb209d1e8a9de5d60ed79331,19360,"santo anastacio",SP
2,baad97a77fafd04f72a7f874dd67b37e,03589,"sao paulo",SP
2,bf59acdae64e9900fd93e4847baa1978,08080,"sao paulo",SP
2,f561632522774ab728bb93f8f3ab5e61,88058,florianopolis,SC
2,2b5ffb4c42d26e466ad575ecce365aa2,22790,"rio de janeiro",RJ
2,54732c804725f94304b9f2d1107a3d6e,88020,florianopolis,SC
2,b25a21b56a2d74da49e04cadbc9e0dd8,41705,salvador,BA
2,e031118eb65330b4c180522f2743cf51,98590,"santo augusto",RS
2,0b3dc7efaafb0cf78a4796d42fa8d74c,22410,"rio de janeiro",RJ
2,f3d176999f9c1273045f770712608944,08810,"mogi das cruzes",SP
2,731a127666e5bc79810ebdc48eeff385,05531,"sao paulo",SP
2,be33ce67f6c02b468b94afa895a955fe,34800,caete,MG
2,582183483d33018384b309d31c45f353,19360,"santo anastacio",SP
2,81db097ffce4bd958cfffeca7c41e301,05061,"sao paulo",SP
2,59d8d1ea35c02a6a070ee29944b0ea86,22773,"rio de janeiro",RJ
2,55efe0d41e47d41465ea4fb5f8badee0,17032,bauru,SP
2,77001b080dd723bc9a22e538e5e06e41,06463,barueri,SP
2,dd6ca4bccbd21803d32139af5b908fd7,71916,brasilia,DF
3,51d91326ffc0688da14a001de38c264b,75712,catalao,GO
2,b5d391e8447d5ae0f8b852be83249e07,18120,mairinque,SP
2,eb28e67c4c0b83846050ddfb8a35d051,15775,"santa fe do sul",SP
2,2ef9e79cf6bf3c0dac3b48c8dd46259e,04015,"sao paulo",SP
2,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA
3,615922c430abddd368735199c38e735d,27936,macae,RJ
2,93541741ba99116c5cf5773312eff953,78080,cuiaba,MT
4,08e5b38d7948d37fbb2a59fc5e175ab1,58043,"joao pessoa",PB
2,f1c08d13b8520a6efa197627fada3a56,95995,arvorezinha,RS
2,018b5a7502c30eb5f230f1b4eb23a156,74936,"aparecida de goiania",GO
2,a8333c0243253bb6d89193af79807384,38402,uberlandia,MG
2,da1e7179b9c5a1494d78528cbcf05aa0,89812,chapeco,SC
4,f64ec6d8dd29940264cd0bbb5ecade8a,25665,petropolis,RJ
2,d0145502f422d4a9387f75186674f29a,37590,jacutinga,MG
2,f7d319c00224031393f1ba82343db3d6,02535,"sao paulo",SP
2,bfe14bfa136397036c4fd0cade75c68c,29142,cariacica,ES
2,382ad79426068e4ba6ed73491d4441cb,13310,itu,SP
2,8dfbc9064378d19ac99a21ac353072d7,24240,niteroi,RJ
2,79c3ef46b89f10777f5604a5e1ee22b5,22260,"rio de janeiro",RJ
3,c76762dfb642ac154475239639f7f8f4,20541,"rio de janeiro",RJ
2,af0450a3075f107a38cd7daadc98f990,02035,"sao paulo",SP
2,b03155da610163a1626f1b99d4787774,43805,candeias,BA
2,8c8bc67c372d5c409fbf1a340205ddca,22775,"rio de janeiro",RJ
3,d387ea85dc301a91740e31360d355686,13877,"sao joao da boa vista",SP
2,bdb40fdb1df62064c8ee38b845459e77,05006,"sao paulo",SP
2,7ea3dc64a652d699ace3048e904c561b,35590,"lagoa da prata",MG
2,1f9756abd497b76eeccb492bfe91df35,64067,teresina,PI
5,5e8f38a9a1c023f3db718edcf926a2db,44053,"feira de santana",BA
2,f95407bbebadeb8eb236153ba339e998,05466,"sao paulo",SP
2,4e23e1826902ec9f208e8cc61329b494,20550,"rio de janeiro",RJ
2,0c8286526be3a0fc8f50b7267db95035,84020,"ponta grossa",PR
2,9dc44558922ff57d14d99f20d37f440f,18075,sorocaba,SP
2,eb240714223915add224beff2d844e53,19026,"presidente prudente",SP
2,a017de101a9c4fab4995c1bc81e737ea,05565,"sao paulo",SP
2,b2c913a0723c7737e11067861e061913,25680,petropolis,RJ
2,73601b1eec55943e90ce8d61253d5c09,31550,"belo horizonte",MG
2,50c7adf7c25188cf27f66e1cfe278fad,96090,pelotas,RS
2,1f98d2384ff7a372e6a2d3bb75cbcd54,36680,"sao joao nepomuceno",MG
2,fc1c735fd279ad7321e7b40a4f9d361f,37890,muzambinho,MG
2,dec8632530ce2c58e688e63cbc5105e6,28943,"sao pedro da aldeia",RJ
3,ca994abc57b0bd7981d91d0061b3d8d6,90570,"porto alegre",RS
2,1d7e8be24bca64576da891970638bfe3,35680,itauna,MG
2,5c2b5c09534917d37857557d37ed9205,36830,"espera feliz",MG
3,18e3d276253780b44b5b7bf83f6785ec,11420,guaruja,SP
3,a40096fc0a3862e9e12bc55b5f8e6ab2,20561,"rio de janeiro",RJ
2,ff03923ad1eb9e32304deb7f9b2a45c9,18703,avare,SP
2,8f3dca4306d5a89e4ae2c65c110603a2,72465,brasilia,DF
2,f3bf3bed9936aecd7792e6c49779dedc,11065,santos,SP
2,794307f7c4fd6c8325655fb3f7b89895,86803,apucarana,PR
3,4f4d2fe2987efa0b9e4e61a466e8ed8b,86400,jacarezinho,PR
2,c0fc2e3595c750de75d36e7db9399e83,19200,pirapozinho,SP
2,dff5ff8f411dd1d77875f7e17a3eb512,08040,"sao paulo",SP
3,46450c74a0d8c5ca9395da1daac6c120,88034,florianopolis,SC
2,1581a918a58a11d99c69f86d9c0d2098,46100,brumado,BA
3,bd86b1862fe796149a4d2af57bd85451,48668,"barra do tarrachil",BA
2,367f4686d7112d69feed92b02a1775ed,88501,lages,SC
2,51c23d1b01aebce5a1e32e3d9b312aa3,78400,diamantino,MT
2,255ac312f5ceb97163ec60f0db2eee11,03687,"sao paulo",SP
2,050555c26479bbb8ba0740c37e7454d0,04675,"sao paulo",SP
2,40aa675201863fe2a78cc40c3ab74609,07985,"francisco morato",SP
2,f00aa1cfc257dfff20184269b19db923,21530,"rio de janeiro",RJ
2,70601471b692cc0879300373118041ff,37640,extrema,MG
2,221ae88140600106a982acb69a0add50,96506,"cachoeira do sul",RS
2,21559d7ff0ebff720e5e160184338fed,86040,londrina,PR
2,7bff4fff725edd40fde6f0ac1eb0e2dc,22725,"rio de janeiro",RJ
